index,word
71,mantap
72,bgus
72,bgtmudah
72,mesen
72,kendaraan
72,harga
72,murah
72,kualitas
72,sangat
72,bagussupir
72,ramah
72,ramah
73,bgus
73,bgtmudah
73,mesen
73,kendaraan
73,harga
73,murah
73,kualitas
73,sangat
73,bagussupir
73,ramah
73,ramah
74,bgus
74,bgtmudah
74,mesen
74,kendaraan
74,harga
74,murah
74,kualitas
74,sangat
74,bagussupir
74,ramah
74,ramah
75,pelayanan
75,baik
75,terimakasih
76,sikap
76,driver
76,sangat
77,bagus
77,mempermudah
78,nyaman
78,maxim
80,gajelas
80,tibalogout
80,sendiri
80,nyari
80,driver
80,bngt
80,berkali
80,gada
80,driver
81,gajelas
81,tibalogout
81,sendiri
81,nyari
81,driver
81,bngt
81,berkali
81,gada
81,driver
82,penjemputan
83,sangat
83,puas
83,cepat
83,layanan
83,terimakasih
84,sangat
84,puas
84,cepat
84,layanan
84,terimakasih
85,sangat
85,mengayomi
86,banget
86,nyari
86,orang
86,anter
86,makanan
87,aman
87,nyaman
88,semoga
88,maxim
88,jaya
88,pelayanan
88,gercep
88,good
89,semoga
89,maxim
89,jaya
89,pelayanan
89,gercep
89,good
90,draiper
90,bagus
90,sopan
90,ramah
90,tamah
91,sangat
91,ramah
92,terimakasih
92,engge
93,terima
93,kasih
93,bang
93,interviuw
93,tujuan
94,cepat
94,sangat
94,orang
94,baik
95,cepat
95,sangat
95,orang
95,baik
96,driver
96,maxim
96,ramah
96,baik
96,respon
97,ongkos
97,murah
97,tapi
97,sayang
97,login
97,berkali
97,kali
97,ganti
97,nomor
97,login
97,tapi
97,masuk
97,masuk
97,kede
97,verifikasi
97,tolong
97,perbaiki
97,perbaiki
97,kasi
97,bintang
98,ongkos
98,murah
98,tapi
98,sayang
98,login
98,berkali
98,kali
98,ganti
98,nomor
98,login
98,tapi
98,masuk
98,masuk
98,kede
98,verifikasi
98,tolong
98,perbaiki
98,perbaiki
98,kasi
98,bintang
99,sesuai
99,diharapkan
100,keren
100,nuhun
101,makanan
101,pesan
101,kebanyakan
101,titik
102,driver
102,mobil
102,semua
102,kecuali
102,dinaikin
102,harga
102,niat
102,sesuai
102,aplikasi
102,make
102,maxim
103,driver
103,mobil
103,semua
103,kecuali
103,dinaikin
103,harga
103,niat
103,sesuai
103,aplikasi
103,make
103,maxim
104,orang
104,asik
105,driver
105,pisan
105,hatur
105,nuhun
106,pelayanan
106,sangat
106,maximal
106,terbaik
107,puas
107,ramah
108,apps
108,jelasdriver
108,niat
108,kerjauda
108,dikasih
108,harga
108,tolak
108,terusga
108,niat
108,kerja
108,gimanadan
108,devloper
108,mohon
108,apps
108,mohon
108,benahi
108,kadang
108,error
109,apps
109,jelasdriver
109,niat
109,kerjauda
109,dikasih
109,harga
109,tolak
109,terusga
109,niat
109,kerja
109,gimanadan
109,devloper
109,mohon
109,apps
109,mohon
109,benahi
109,kadang
109,error
110,apps
110,jelasdriver
110,niat
110,kerjauda
110,dikasih
110,harga
110,tolak
110,terusga
110,niat
110,kerja
110,gimanadan
110,devloper
110,mohon
110,apps
110,mohon
110,benahi
110,kadang
110,error
111,keren
111,banget
111,berubah
111,pemenang
112,bagus
113,terbaik
113,terima
113,kasih
114,fitur
114,send
114,foto
114,nggak
114,kirim
114,patokan
114,lokasi
114,suka
114,kucing
114,kucingan
114,driver
115,fitur
115,send
115,foto
115,nggak
115,kirim
115,patokan
115,lokasi
115,suka
115,kucing
115,kucingan
115,driver
116,mantap
116,pelayanan
117,tingkatkan
117,pelayanan
118,driver
118,telat
118,nyampe
118,menit
118,kadang
118,udah
118,nungguin
118,cancel
118,driver
118,mobil
118,driver
118,ramah
118,ditaruh
118,didepan
118,kursi
118,penumpang
118,dipindahin
118,mobil
118,orang
118,bayar
118,sesuai
118,aplikasi
118,lagi
118,aplikasi
118,driver
118,gitu
118,bayar
118,parkir
118,masukan
118,aplikasi
118,disalahin
119,driver
119,telat
119,nyampe
119,menit
119,kadang
119,udah
119,nungguin
119,cancel
119,driver
119,mobil
119,driver
119,ramah
119,ditaruh
119,didepan
119,kursi
119,penumpang
119,dipindahin
119,mobil
119,orang
119,bayar
119,sesuai
119,aplikasi
119,lagi
119,aplikasi
119,driver
119,gitu
119,bayar
119,parkir
119,masukan
119,aplikasi
119,disalahin
120,driver
120,telat
120,nyampe
120,menit
120,kadang
120,udah
120,nungguin
120,cancel
120,driver
120,mobil
120,driver
120,ramah
120,ditaruh
120,didepan
120,kursi
120,penumpang
120,dipindahin
120,mobil
120,orang
120,bayar
120,sesuai
120,aplikasi
120,lagi
120,aplikasi
120,driver
120,gitu
120,bayar
120,parkir
120,masukan
120,aplikasi
120,disalahin
121,driver
121,telat
121,nyampe
121,menit
121,kadang
121,udah
121,nungguin
121,cancel
121,driver
121,mobil
121,driver
121,ramah
121,ditaruh
121,didepan
121,kursi
121,penumpang
121,dipindahin
121,mobil
121,orang
121,bayar
121,sesuai
121,aplikasi
121,lagi
121,aplikasi
121,driver
121,gitu
121,bayar
121,parkir
121,masukan
121,aplikasi
121,disalahin
122,driver
122,telat
122,nyampe
122,menit
122,kadang
122,udah
122,nungguin
122,cancel
122,driver
122,mobil
122,driver
122,ramah
122,ditaruh
122,didepan
122,kursi
122,penumpang
122,dipindahin
122,mobil
122,orang
122,bayar
122,sesuai
122,aplikasi
122,lagi
122,aplikasi
122,driver
122,gitu
122,bayar
122,parkir
122,masukan
122,aplikasi
122,disalahin
123,chat
123,kirim
123,driver
123,masuk
123,terima
123,driver
124,terimakasih
124,bnyak
124,membantuk
125,tingkatkan
125,terimakasih
126,maxim
126,mobil
126,tegal
126,driver
126,tidak
126,ramah
127,trmksh
127,plnyanan
127,sngt
127,bgussemonga
127,lancar
127,rejekiy
127,sehat
127,prjlanan
128,maxsim
128,susah
128,skli
128,dapatin
128,lelet
128,menerima
128,penumpang
128,butuh
129,salah
129,titik
129,jauj
129,marah
129,tetep
129,lgsung
129,maaf
